Detector,GR MAE (dB),MR-STE,FoES,ESR,MR-STFT (auraloss),ESR (A-wt),MAE (L1),MSE (L2),MR-STFT,EDC,M_NRMSE,M_SF
Hilbert,1.2857375256473766,0.09821825874459388,4817942.761876211,0.14723452679536117,0.8010900944911313,0.05985178912054871,0.023350323166580967,0.0035806824330942917,0.1379213655225962,0.020313067191379604,0.0836736536305782,0.29223400546618206
RMS 64,1.3941932547281837,0.0071398880874829086,1083756.764663553,0.11768373455207373,0.7671041557953541,0.04559898491567108,0.016555900738221174,0.002851990901589692,0.10050190464089902,0.00461627709103836,0.006934388267612381,0.2010726367696813
RMS 256,1.1317440006905715,0.02010275102543811,133666.6861264561,0.12060992096878181,0.7616027131486777,0.03443574008437472,0.018675411199979643,0.0029287931267314364,0.08908321702500112,0.009649558097539833,0.016186918838356254,0.17635747235619653
RMS 1024,0.7618709232511148,0.06560884740250784,0.40591832387932486,0.13494563624896916,0.7899035307759799,0.030180006039462356,0.02305164969412397,0.0033360721482443706,0.08934968663811867,0.01654548107023014,0.04902655476167561,0.17453554197374452
RMS 4096,0.8389026491146709,0.15012694932812926,0.40988285876245184,0.17305253263085477,0.8621229076473403,0.03680276945740919,0.027812635831563386,0.004230969769796399,0.11244141178390514,0.021317798369008035,0.12173264764131517,0.19088529861581263
Simple diff,2.480978845635235,5.709546908220571e-06,23619355.58234228,0.09991841961710335,1.232412355925614,0.0900264796411666,0.008776313154734388,0.002349281344818416,0.18365606427654685,0.0001173413170627546,8.16816053479976e-05,0.3780384235882825
