Detector,GR MAE (dB),MR-STE,FoES,ESR,MR-STFT (auraloss),ESR (A-wt),MAE (L1),MSE (L2),MR-STFT,EDC,M_NRMSE,M_SF
Hilbert,0.8582969815176266,0.0073135348438502544,0.3220183710689703,0.021281029792357194,0.6693901527445341,0.052425520835321995,0.0011329100898542076,4.97449116188427e-06,0.09331666956179067,0.017360646310433117,0.004355953101666428,0.2595680103519372
RMS 64,0.2667178402879619,0.001479765135887364,0.07785069609410702,0.02802321040447731,0.08571994888078788,0.049724018885459534,0.0015221620353562525,7.493805825773552e-06,0.019580593146326503,0.011508784834225775,0.0008826243090303392,0.06164005554076201
RMS 256,0.1707617934519931,0.0040316910051815865,0.04524620208049925,0.028585418663995565,0.06404666336600476,0.04828666428939838,0.0015792788427614378,7.70443972415306e-06,0.014056026096178075,0.011748100448877233,0.0023684096685283275,0.04498726669248892
RMS 1024,0.13180457031788975,0.011213833034558704,0.03341109740528235,0.029278654961054973,0.06905147415694005,0.047863956281953376,0.0016056849855712507,7.829862042568888e-06,0.015757053249308327,0.012923591895305559,0.008110132051116884,0.04963974681902877
RMS 4096,0.16169409884362101,0.030544814637233374,0.04444194445294156,0.030768500098543445,0.09076474070267489,0.048772326461443825,0.001650068353120631,8.05672834015908e-06,0.026101487399154112,0.016440103947231013,0.02567319363848688,0.06333623272380319
Simple diff,1.929149074769985,0.0010344748182691608,0.7939841513666703,0.011341253332238796,0.9287040086174929,0.040366099245799925,0.00012810647800697196,1.531577959345292e-06,0.09240675155406951,0.013189080180745025,0.0006123421314878916,0.22610868578982035
